ID,city,area,rooms,bathroom,parking,floor,animal,furniture,hoa,rentAmount,propertyTax,fireInsurance
199,1,70,2,1,0,1,not acept,not furnished,R$350,"R$1,050",R$116,R$14
200,1,20,1,1,0,3,not acept,furnished,R$150,"R$3,142",R$67,R$40
201,1,130,3,2,2,6,acept,not furnished,"R$1,100","R$3,500",R$209,R$45
202,1,120,3,2,3,16,acept,not furnished,"R$1,400","R$2,000",R$292,R$26
203,1,110,3,3,2,2,acept,furnished,"R$1,000","R$3,800",R$192,R$49
204,1,300,3,5,3,-,acept,not furnished,R$0,"R$11,900",R$250,R$179
205,1,349,4,5,4,8,not acept,not furnished,"R$3,100","R$11,000",R$0,R$140
206,1,97,3,2,2,1,acept,not furnished,R$730,"R$3,000",R$303,R$39
207,1,84,4,1,3,5,not acept,not furnished,"R$1,914","R$6,000",R$804,R$77
208,1,180,2,2,1,-,not acept,not furnished,R$0,"R$2,800",R$105,R$43
209,1,286,4,4,5,-,acept,not furnished,R$0,"R$10,000","R$1,000",R$151
210,1,500,5,7,5,22,acept,not furnished,"R$5,500","R$14,000","R$2,084",R$178
211,1,110,3,3,3,4,acept,not furnished,"R$1,195","R$2,350",R$670,R$30
212,1,196,4,4,0,11,acept,not furnished,"R$2,450","R$6,000","R$1,458",R$77
213,1,33,1,1,1,12,not acept,not furnished,R$552,"R$4,150",R$95,R$53
214,1,400,4,4,3,-,acept,not furnished,Sem info,"R$9,000",R$542,R$136
215,1,170,2,1,0,1,acept,furnished,R$0,"R$2,481",R$0,R$26
216,1,90,1,1,0,-,acept,not furnished,R$0,"R$2,200",R$109,R$34
217,1,184,3,4,3,12,acept,not furnished,"R$2,700","R$1,400",R$692,R$18
218,1,117,2,2,1,11,not acept,furnished,R$630,"R$7,130",R$150,R$91
219,1,11,1,1,0,-,not acept,furnished,R$0,"R$1,181",R$0,R$15
220,0,57,1,1,1,2,acept,not furnished,R$605,R$800,R$66,R$11
221,1,16,1,1,0,1,not acept,not furnished,R$0,R$850,R$30,R$11
222,1,180,4,3,1,4,acept,furnished,"R$1,572","R$5,000",R$240,R$64
223,1,250,3,4,2,16,acept,not furnished,"R$3,300","R$6,000",R$517,R$77
224,1,220,3,4,2,-,acept,furnished,R$0,"R$7,000",R$434,R$106
225,1,360,3,5,4,22,acept,not furnished,"R$2,398","R$3,135","R$1,467",R$40
226,1,122,3,4,3,5,acept,not furnished,Incluso,"R$4,500",R$0,R$58
227,1,138,3,4,3,2,not acept,not furnished,R$790,"R$7,000",R$690,R$89
228,1,110,3,1,1,1,acept,not furnished,"R$1,235","R$1,400",R$0,R$18
229,1,220,4,3,3,3,acept,not furnished,"R$1,600","R$3,400",R$0,R$44
230,1,118,3,2,1,11,not acept,not furnished,"R$1,116","R$4,775",R$185,R$61
231,1,180,2,2,1,15,acept,not furnished,"R$1,800","R$5,350",R$0,R$68
232,1,52,2,1,1,7,acept,not furnished,R$540,"R$1,300",R$63,R$17
233,1,30,1,1,0,1,acept,furnished,R$0,"R$1,550",R$21,R$20
234,1,160,3,3,2,5,acept,furnished,"R$1,650","R$1,500",R$419,R$20
235,0,209,3,3,2,-,not acept,not furnished,R$593,"R$2,550",R$237,R$39
236,1,450,5,5,6,-,acept,not furnished,R$0,"R$9,500","R$1,345",R$143
237,1,117,3,3,3,10,acept,not furnished,"R$2,280","R$2,300",R$700,R$30
238,1,900,4,6,8,-,acept,not furnished,R$0,"R$15,000","R$4,417",R$226
239,1,200,3,3,0,-,acept,not furnished,Sem info,"R$4,500",R$71,R$68
240,1,128,3,3,2,10,acept,not furnished,"R$2,600","R$3,800",R$605,R$49
241,1,140,3,2,2,2,acept,not furnished,"R$1,480","R$3,700",R$167,R$47
242,1,180,3,3,4,27,acept,not furnished,"R$2,000","R$7,000",R$859,R$89
243,1,280,4,4,5,9,acept,not furnished,"R$3,000","R$3,200",R$875,R$41
244,1,420,4,6,4,8,acept,not furnished,"R$3,500","R$15,000","R$2,250",R$191
245,1,48,1,1,1,8,acept,furnished,R$740,"R$2,700",R$137,R$35
246,1,148,3,2,2,2,not acept,furnished,"R$2,830","R$9,000",R$267,R$115
247,1,75,2,1,1,5,not acept,not furnished,R$748,"R$2,000",R$0,R$26
248,1,44,1,1,0,1,not acept,not furnished,R$417,"R$3,016",R$0,R$12
249,1,35,1,1,0,-,acept,not furnished,R$0,"R$1,100",R$30,R$14
250,1,320,4,2,2,-,acept,furnished,R$0,"R$8,000",R$642,R$121
251,0,98,3,2,1,1,acept,not furnished,R$727,"R$1,233",R$84,R$16
252,0,51,1,1,0,12,not acept,furnished,R$707,"R$1,300",R$45,R$17
253,1,322,4,5,5,17,acept,furnished,"R$2,700","R$15,000","R$1,875",R$191
254,1,187,4,5,3,5,acept,not furnished,"R$3,912","R$5,300","R$1,424",R$68
